time_s,a_sync
0.0,0.09104326559287877
30.0,-0.1832485061253646
60.0,0.03150690334057791
90.0,-0.005569738395088526
120.0,-0.01774632927718446
150.0,-0.04009759900366203
180.0,0.010551239420243603
210.0,-0.11575366360548689
240.0,-0.14363599405809907
270.0,0.039357360411759724
300.0,0.06152320081018792
330.0,0.17389381145497865
360.0,0.10305013924464347
390.0,-0.2369023604719054
420.0,0.2623956146244341
450.0,-0.20640135634438805
480.0,0.0556668844112564
510.0,-0.010558026853733622
540.0,0.008731578088882067
570.0,-0.04431144847566095
600.0,0.17587554670141795
630.0,-0.16401038612825516
660.0,-0.02463043026828553
690.0,0.012974245586338286
720.0,-0.00953979624681908
750.0,0.030273801718730953
780.0,0.08962175713550996
810.0,0.0583181443158071
840.0,0.06368041836039809
