start_time,valence_sync
0,0.02833149580347989
30,0.02086371715219406
60,0.022081896192218422
90,0.02213056809966895
120,0.02854614741112363
150,0.022926157482515776
180,0.02979369266041182
210,0.031161688806736428
240,0.007771517047396139
270,0.0
300,0.0
330,0.0
360,0.0
390,0.0
420,0.0
450,0.0
480,0.0
510,0.0
540,0.0
570,0.0
600,0.0
630,0.0
660,0.0151368532978973
690,0.017562564070586848
720,0.01743856808205431
750,0.022767606397955126
780,0.013777511108535628
810,0.018128057806755807
840,0.019817687809050837
870,0.035962551151650084
900,0.0259418292547149
930,0.028275481213708417
960,0.02082535535587919
990,0.020909139725824363
1020,0.003888560356419475
1050,0.0
1080,0.003294785902676064
1110,0.02663459143922379
1140,0.022157341404388388
1170,0.02607397129076978
1200,0.03540987832679974
1230,0.028484205041499178
1260,0.02407848177531384
1290,0.025872123759698412
1320,0.025514468519676044
1350,0.02311542915930204
1380,0.021308927021208287
1410,0.021315841399623794
1440,0.02109663681042953
1470,0.02995715103757916
1500,0.025068769363548977
1530,0.024421662572290347
1560,0.022231658526948004
1590,0.01773011803568445
1620,0.014537028545084135
1650,0.01220126271685335
1680,0.021599854524498623
1710,0.023549401128861374
1740,0.02466973250681332
1770,0.013477369206616616
1800,0.01050777336486582
1830,0.012651194689492759
1860,0.018534468434374493
1890,0.021617271317450174
1920,0.024071707078492814
1950,0.01588286287041963
1980,0.01659128903949177
2010,0.016661436806830944
2040,0.02134399357878094
2070,0.02173250692897928
2100,0.030288359325880965
2130,0.020058461339505472
2160,0.014724318180426054
2190,0.012655523251141993
2220,0.015549702286839634
2250,0.025448476278308672
2280,0.02792566962006941
2310,0.023184514907447083
2340,0.009828119796600051
2370,0.004268712022110403
2400,0.011947742477622432
2430,0.00932109468808762
2460,0.011794175698321153
2490,0.014405234649789109
2520,0.011199498541587102
2550,0.012434186996003838
2580,0.01891775425588134
2610,0.01060765576577913
2640,0.015217320707160455
2670,0.013248573878208107
2700,0.01870146370056623
2730,0.01144461451776941
2760,0.013454426605399177
2790,0.014641935664029769
2820,nan
2850,nan
2880,nan
2910,nan
2940,nan
2970,nan
3000,nan
3030,nan
